,,,,,,,,,,,,,,,,,,,,,,,
Input — Finanzdaten FY2025 (USD Mio.),,,,,,,,,,,,,,,,,,,,,,,
"Quelle: SEC XBRL Companyfacts, 10-K zum 31.12.2025. Graue Spalten sind Formeln.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticker,Unternehmen,Sektor,Qual.,Langfr. Finanzschulden,Kurzfr. Finanzschulden,Gesamt- verschuldung,Liquide Mittel,Netto- verschuldung,EBIT,D&A,EBITDA,Zins- aufwand,Operativer Cashflow,Capex,Free Cash Flow,Dividenden,Aktien- rückkäufe,Eigenkapital inkl. NCI,Fällig <24M,Eff. Steuer- quote,Reserven (MMboe),Produktion (MMboe/a),Quelle / Hinweis zu ergänzten Werten
WMB,Williams Companies,Midstream,V,27316,1345,28661,63,28598,4196,2347,6543,1442,5898,4893,1005,2442,0,14995,3339,0.236413793103448,n/a,n/a,STD: LongTermDebtAndCapitalLeaseObligationsCurrent | Mat24: Faelligkeit Jahr 1 1.345 + Jahr 2 1.994
KMI,Kinder Morgan,Midstream,V,30777,1226,32003,63,31940,4724,2453,7177,1801,5917,3026,2891,2604,0,32449,2168,0.208416833667335,n/a,n/a,
OKE,ONEOK,Midstream,V,30755,1241,31996,78,31918,5741,1514,7255,1783,5599,3152,2447,2583,75,22569,1241,0.228953229398664,n/a,n/a,
TRGP,Targa Resources,Midstream,V,16662.4,770,17432.4,166.1,17266.300000000003,3331.2,1515.3,4846.5,852.8,3917.4,3333.3,584.0999999999999,815.1,641.8,3198.2,1520,0.213038931788932,n/a,n/a,STD: abgeleitet: LongTermDebt 17.432 abzueglich langfristigem Anteil 16.662 | Mat24: kurzfristiger Anteil 770 + Faelligkeit Jahr 2 750
MPC,Marathon Petroleum,Refining,V,30505,2371,32876,3672,29204,8291,3251,11542,1489,8253,3486,4767,1140,3488,24086,4385,0.16208125445474,n/a,n/a,
PSX,Phillips 66,Refining,V*,18678,1038,19716,1116,18600,6417,3251,9668,997,4962,2200,2762,1922,1207,30241,2320,0.164575645756458,n/a,n/a,
VLO,Valero Energy,Refining,V,9670,949,10619,4688,5931,3181,3158,6339,556,5826,1885,3941,1405,2598,26605,1513,0.252579034941764,n/a,n/a,
SLB,SLB (Schlumberger),Services,V,9742,1200,10942,3036,7906,4849,2643,7492,558,6489,1694,4795,1602,2414,27291,2800,0.195758564437194,n/a,n/a,STD: Schaetzung; kurzfristige Finanzschulden nicht separat getaggt | Mat24: geschaetzter kurzfristiger Anteil 1.200 + Faelligkeit Jahr 2 1.600
BKR,Baker Hughes,Services,V,5398,689,6087,3715,2372,3099,1188,4287,222,3810,1273,2537,910,384,19010,2076,0.0879388251651025,n/a,n/a,
HAL,Halliburton,Services,V,7158,0,7158,2206,4952,2260,1136,3396,352,2926,1254,1672,579,1007,10505,90,0.27046866177301,n/a,n/a,
,,,,,,,,,,,,,,,,,,,,,,,
Hinweise:,"'V*' = Capex manuell aus dem Earnings Release ergänzt, weil ConocoPhillips und Phillips 66 diese Position in XBRL nur segmentdimensioniert taggen. Reserven und Produktion (V/W) sind Schätzungen — die SEC-Reservetabellen liegen in XBRL ebenfalls nur dimensional vor. Gelbe Zellen: kein nicht-dimensionaler XBRL-Wert vorhanden, bitte bei Bedarf aus dem 10-K ergänzen.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
